"","X","x"
"1",1,0.0738207858108109
"2",2,0.0554205402702703
"3",3,0.0465265516216216
"4",4,0.0978879750000001
"5",5,0.0830429848648649
"6",6,0.0187135071621622
"7",7,0.0907428748648649
"8",8,0.0848615375675676
"9",9,0.0714061858108108
"10",10,0.0645943617567568
"11",11,0.0511175475675676
"12",12,0.0718983416216216
"13",13,0.0781523447297298
"14",14,0.0979140322972973
"15",15,0.061264085945946
"16",16,0.0776202013513514
"17",17,0.0844459758108108
"18",18,0.0705552632432433
"19",19,0.0706629902702703
"20",20,0.0876791287837838
